Municipio,Departamento
Acandí,Chocó
Altobaudo,Chocó
Bagado,Chocó
Bahía Solano,Chocó
Bajo Baudo,Chocó
Bojaya,Chocó
Condoto,Chocó
El Carmen,Chocó
Iloro,Chocó
Itsmina,Chocó
Novita,Chocó
Nuqui,Chocó
Quibdó,Chocó
Riosucio,Chocó
Sipi,Chocó
Tado,Chocó
Unguía,Chocó
Ayapel,Córdoba
Buenavista,Córdoba
Canalete,Córdoba
Cerete,Córdoba
Chima,Córdoba
Chinu,Córdoba
Cienaga de Oro,Córdoba
Lorica,Córdoba
Monitos,Córdoba
Montelibano,Córdoba
Monteria,Córdoba
Planeta Rica,Córdoba
Puerto Libertador,Córdoba
Puerto Nuevo,Córdoba
Purisima,Córdoba
Sahagun,Córdoba
San Andrés de Sotavento,Córdoba
San Bernardo,Córdoba
San Carlos,Córdoba
San Pelayo,Córdoba
Tierralta,Córdoba
Valencia,Córdoba
Agua de Dios,Cundinamarca
Albán,Cundinamarca
Anapoima,Cundinamarca
Anolaima,Cundinamarca
Apulo,Cundinamarca
Arbelaez,Cundinamarca
Beltrán,Cundinamarca
Biutima,Cundinamarca
Cabrera,Cundinamarca
Cachipai,Cundinamarca
Cajica,Cundinamarca
Caparrapi,Cundinamarca
Caqueza,Cundinamarca
Chaguani,Cundinamarca
Chía,Cundinamarca
Chipaque,Cundinamarca
Choachi,Cundinamarca
Choconta,Cundinamarca
Cogua,Cundinamarca
Facativa,Cundinamarca
Fomeque,Cundinamarca
Fosca,Cundinamarca
Funza,Cundinamarca
Fusagasuga,Cundinamarca
Gachala,Cundinamarca
Gachancipa,Cundinamarca
Gacheta,Cundinamarca
Girardot,Cundinamarca
Guacheta,Cundinamarca
Guaduas,Cundinamarca
Guasca,Cundinamarca
Guatavita,Cundinamarca
Guayabal de Siquima,Cundinamarca
Guayabetal,Cundinamarca
Gutiérrez,Cundinamarca
Junín,Cundinamarca
Jurado,Cundinamarca
La Calera,Cundinamarca
La Mesa,Cundinamarca
La Palma,Cundinamarca
La Vega,Cundinamarca
Macheta,Cundinamarca
Madrid,Cundinamarca
Manta,Cundinamarca
Medina,Cundinamarca
Mosquera,Cundinamarca
Nariño,Cundinamarca
Nemocón,Cundinamarca
Nilo,Cundinamarca
Nimaima,Cundinamarca
Nocaima,Cundinamarca
Paime,Cundinamarca
Pandi,Cundinamarca
Paratebueno,Cundinamarca
Pasca,Cundinamarca
Puerto Salgar,Cundinamarca
Quebrada Negra,Cundinamarca
Quetame,Cundinamarca
Quilipe,Cundinamarca
Ricaurte,Cundinamarca
San A,Cundinamarca
San Cayetano,Cundinamarca
San Francisco,Cundinamarca
San Juan de Río Seco,Cundinamarca
Sasaima,Cundinamarca
Sesquile,Cundinamarca
Sibate,Cundinamarca
Silvania,Cundinamarca
Simijaca,Cundinamarca
Soacha,Cundinamarca
Sopo,Cundinamarca
Subachoque,Cundinamarca
Suesca,Cundinamarca
Supata,Cundinamarca
Susa,Cundinamarca
Tabio,Cundinamarca
Tausa,Cundinamarca
Tena,Cundinamarca
Tenjo,Cundinamarca
Tibacuy,Cundinamarca
Tiribita,Cundinamarca
Tocaima,Cundinamarca
Tocancipa,Cundinamarca
Topaipi,Cundinamarca
Ubala,Cundinamarca
Ubaque ,Cundinamarca
Ubaté,Cundinamarca
Une,Cundinamarca
Utica,Cundinamarca
Venecia,Cundinamarca
Vergara,Cundinamarca
Villa Gómez,Cundinamarca
Villapinzón,Cundinamarca
Villeta,Cundinamarca
Yacopi,Cundinamarca
Zipacón,Cundinamarca
Zipaquira,Cundinamarca
Inirida,Guainia
(Varios),Guaviare
San José del Guaviare,Guaviare
Acevedo,Huila
Agrado,Huila
Aipe,Huila
Algeciras,Huila
Altamira,Huila
Baraya,Huila
Campoalgre,Huila
Colombia,Huila
Ellas,Huila
Garzón ,Huila
Gigante,Huila
Guadalupe,Huila
Hobo,Huila
Iquira,Huila
Isnos,Huila
La Argentina,Huila
La Plata,Huila
Nagata,Huila
Neiva,Huila
Oporapa,Huila
Paicol,Huila
Palermo,Huila
Palestina,Huila
Pital,Huila
Pitalito,Huila
Rivera,Huila
Saladoblanco,Huila
San Agustín,Huila
Santa María,Huila
Sueza,Huila
Tarqui,Huila
Tello,Huila
Teruel,Huila
Tesalia,Huila
Timana,Huila
Villavieja,Huila
Yaguara,Huila
Barrancas,La Guajira
El Molino,La Guajira
Fonseca,La Guajira
Maicao,La Guajira
Manaure,La Guajira
Rioacha,La Guajira
San Francisco de Asis ,La Guajira
San Juan del Cesar,La Guajira
Uribia,La Guajira
Urumita,La Guajira
Villanueva,La Guajira
Aracataca,Magdalena
Ariguini,Magdalena
Chivolo,Magdalena
Cienaga,Magdalena
El Banco,Magdalena
El Piñón,Magdalena
Fundación,Magdalena
Guamal,Magdalena
Magdalena,Magdalena
Pedraza,Magdalena
Pivijay,Magdalena
Plato,Magdalena
Pueblo Viejo,Magdalena
Remolino,Magdalena
Salamina,Magdalena
San Sebastián,Magdalena
San Zenon,Magdalena
Santa Ana,Magdalena
Santa Marta,Magdalena
Sitionuevo,Magdalena
Tenerife,Magdalena
Acacias,Meta
Castilla la Nueva,Meta
Cubarral,Meta
Cubuyaro,Meta
Cumaral,Meta
El Castillo,Meta
Fuente de Oro,Meta
Granada,Meta
Guamal,Meta
La Macarena,Meta
Mapiripan,Meta
Mesetas,Meta
Puerto Concordia,Meta
Puerto Gaitan,Meta
Puerto Lleras,Meta
Puerto López,Meta
Puerto Rico,Meta
Restrepo,Meta
San Carlos de Guaroa,Meta
San Juan,Meta
San Juan de Arama,Meta
Villavicencio,Meta
Vistahermosa,Meta
(Varios),Nariño
Albán,Nariño
Arboledas,Nariño
Barbacoas,Nariño
Belén,Nariño
Buesaco,Nariño
Colón,Nariño
Consaca,Nariño
Cuaspud,Nariño
Cumbal,Nariño
Cumbitara,Nariño
El Rosario,Nariño
El Tablón de Gómez,Nariño
El Tambo,Nariño
Francisco Pizarro,Nariño
Guachucal,Nariño
Guachucal,Nariño
Gualmatan,Nariño
Guatarilla,Nariño
Iles,Nariño
Imuez,Nariño
Ipiales,Nariño
La Cruz,Nariño
La Florida,Nariño
La Unión,Nariño
Leyua,Nariño
Linares,Nariño
Los Andes,Nariño
Magui Payán,Nariño
Mallama,Nariño
Nariño,Nariño
Pasto,Nariño
Policarpa,Nariño
Puerres,Nariño
Pupiales,Nariño
Ricaurte,Nariño
Samaniego,Nariño
San Lorenzo,Nariño
San Pablo,Nariño
Sandona,Nariño
Santa Cruz,Nariño
Sapuyes,Nariño
Taminango,Nariño
Tangua,Nariño
Tumaco,Nariño
Tuquerres,Nariño
Yacunquer,Nariño
(Varios),Norte de Santander
Abrego,Norte de Santander
Arboletes,Norte de Santander
Bochalema,Norte de Santander
Bucarasica,Norte de Santander
Cachira,Norte de Santander
Cacota,Norte de Santander
Chinacota,Norte de Santander
Chitaga,Norte de Santander
Convención,Norte de Santander
Cúcuta,Norte de Santander
Cucutilla,Norte de Santander
Durania,Norte de Santander
El Carmen,Norte de Santander
El Zulia,Norte de Santander
Gramalote,Norte de Santander
Hacarí,Norte de Santander
Herrán,Norte de Santander
La Playa,Norte de Santander
Labateca,Norte de Santander
Los Patios,Norte de Santander
Lourdes,Norte de Santander
Norte de Teorama,Norte de Santander
Ocaña,Norte de Santander
Pamplona,Norte de Santander
Pamplonita,Norte de Santander
Ragonvalia,Norte de Santander
Salazar,Norte de Santander
San Calixto,Norte de Santander
San Cayetano,Norte de Santander
Santiago,Norte de Santander
Sardinata,Norte de Santander
Silos,Norte de Santander
Tibú,Norte de Santander
Toledo,Norte de Santander
Villa Caro,Norte de Santander
Villa del Rosario,Norte de Santander
Colón,Putumayo
Mocoa,Putumayo
Orito,Putumayo
Puerto Asis,Putumayo
Puerto Leguizamo,Putumayo
San Francisco,Putumayo
Santiago,Putumayo
Sibundoy,Putumayo
Valle del Guamuez,Putumayo
Villa Garzón,Putumayo
Armenia,Quindío
Buenavista,Quindío
Calarca,Quindío
Circasia,Quindío
Córdoba,Quindío
Filandia,Quindío
Genova,Quindío
La Tebaida,Quindío
Montenegro,Quindío
Pijao,Quindío
Quimbaya,Quindío
Salento,Quindío
(Varios),Risaralda
Apia,Risaralda
Balboa,Risaralda
Belén de Umbría,Risaralda
Dosquebradas,Risaralda
La Celia,Risaralda
La Celia,Risaralda
La Virginia,Risaralda
Marsella,Risaralda
Mistrato,Risaralda
Pereira,Risaralda
Pueblo Rico,Risaralda
Quichia,Risaralda
Santa Rosa de Cabal,Risaralda
Santuario,Risaralda
San Andrés,San Andrés
Aguada,Santander
Albania,Santander
Aratoca,Santander
Barbosa,Santander
Barichara,Santander
Barrancabermeja,Santander
Betulia,Santander
Bolívar,Santander
Bucaramanga,Santander
Cabrera,Santander
California,Santander
Capitanejo,Santander
Carcasi,Santander
Carta,Santander
Cepita,Santander
Cerrito,Santander
Charala,Santander
Chima,Santander
Chipata,Santander
Cimitarra,Santander
Concepción,Santander
Confines,Santander
Contratación,Santander
Coromoro,Santander
Corregimiento La Granja,Santander
Corregimiento Sabanagrande,Santander
Curiti,Santander
El Carmen de Chucuri,Santander
El Espino,Santander
El Guacamayo,Santander
El Playón,Santander
Encino,Santander
Enciso,Santander
Florian,Santander
Floridablanca,Santander
Galán,Santander
Gambita,Santander
Girón,Santander
Guaca,Santander
Guadalupe,Santander
Guapota,Santander
Guavata,Santander
Guespa,Santander
Hato,Santander
Jesús María,Santander
Jordan Sube,Santander
La Paz,Santander
Landazuri,Santander
Le Belleza,Santander
Lebrija,Santander
Los Santos,Santander
Malaga,Santander
Matanza,Santander
Mogotes,Santander
Molagavita,Santander
Ocamonte,Santander
Oiba,Santander
Onzaga,Santander
Palmar,Santander
Palmas de Socorro,Santander
Paramo,Santander
Piedecuesta,Santander
Pinchote,Santander
Puente Nacional,Santander
Puerto Parra,Santander
Puerto Wilches,Santander
Rionegro,Santander
Sabana de Torres,Santander
San Andrés,Santander
San Benito,Santander
San Gil,Santander
San Joaquín,Santander
San Juan de Miranda,Santander
San Miguel,Santander
San Vicente,Santander
Santa Barbara,Santander
Santa Helena,Santander
Simacota,Santander
Socorro,Santander
Suaita,Santander
Sucre,Santander
Surata,Santander
Tona,Santander
Valle de San José,Santander
Vélez,Santander
Vetas,Santander
Vijes,Santander
Villanueva,Santander
Zapatoca,Santander
(Varios),Sucre
Caimito,Sucre
Chalan,Sucre
Coloso,Sucre
Corozal,Sucre
Galeras,Sucre
Guaranda,Sucre
La Unión,Sucre
Las Palmitas,Sucre
Majagual,Sucre
Morroa,Sucre
Ovejas,Sucre
Palmito,Sucre
Sampues,Sucre
San Benito Abad,Sucre
San Juan de Betulia,Sucre
San Marcos,Sucre
San Onofre,Sucre
San Pedro,Sucre
Since,Sucre
Sincelejo,Sucre
Sucre,Sucre
Tolú,Sucre
Toluviejo,Sucre
Alpujarra,Tolima
Alvarado,Tolima
Ambalema,Tolima
Anzoategui,Tolima
Armero Guayabal,Tolima
Ataco,Tolima
Cajamarca,Tolima
Carmen de Apicala,Tolima
Casablanca,Tolima
Chaparral,Tolima
Coello,Tolima
Coyaima,Tolima
Cunday,Tolima
Dolores,Tolima
Espinal,Tolima
Falan,Tolima
Flandes,Tolima
Fresno,Tolima
Guamo,Tolima
Herveo,Tolima
Honda,Tolima
Ibague,Tolima
Icononzo,Tolima
Lerida,Tolima
Libano,Tolima
Mariquita,Tolima
Melgar,Tolima
Murillo,Tolima
Natagaima,Tolima
Ortega,Tolima
Piedras,Tolima
Planadas,Tolima
Prado,Tolima
Purificación,Tolima
Rioblanco,Tolima
Roncesvalles,Tolima
Rovira,Tolima
Saldaña,Tolima
San Antonio,Tolima
San Luís,Tolima
Santa Isabel,Tolima
Suárez,Tolima
Venadillo,Tolima
Villa San Juan,Tolima
Villahermosa,Tolima
Villarica,Tolima
Alcala,Valle del Cauca
Andalucia,Valle del Cauca
Ansermanuevo,Valle del Cauca
Argelia,Valle del Cauca
Bolívar,Valle del Cauca
Buenaventura,Valle del Cauca
Buga,Valle del Cauca
Buga la Grande,Valle del Cauca
Caicedonia,Valle del Cauca
Cali,Valle del Cauca
Calima,Valle del Cauca
Candelaria,Valle del Cauca
Cartago,Valle del Cauca
Dagua,Valle del Cauca
El Aguila,Valle del Cauca
El Cairo,Valle del Cauca
El Cerrito,Valle del Cauca
El Dovio,Valle del Cauca
Florida,Valle del Cauca
Ginebra,Valle del Cauca
Guacarí,Valle del Cauca
Jamundí,Valle del Cauca
La Cumbre,Valle del Cauca
La Unión,Valle del Cauca
La Victoria,Valle del Cauca
Ovando,Valle del Cauca
Palmira,Valle del Cauca
Pradera,Valle del Cauca
Restrepo,Valle del Cauca
Ríofrio,Valle del Cauca
Roldanillo,Valle del Cauca
San Pedro,Valle del Cauca
Sevilla,Valle del Cauca
Toro,Valle del Cauca
Trujillo,Valle del Cauca
Tulua,Valle del Cauca
Versalles,Valle del Cauca
Yotoco,Valle del Cauca
Yumbo,Valle del Cauca
Zarzal,Valle del Cauca
Mitú,Vaupes
La Primavera,Vichada
Providencia,Vichada
Puerto Carreño,Vichada
